producto_inei,unidad_medida,año_mes,precio_soles
ESPINACA,KILOGRAMO,2025-08,5.99
ESPINACA,KILOGRAMO,2025-09,5.83
ESPINACA,KILOGRAMO,2025-10,5.59
ESPINACA,KILOGRAMO,2025-11,5.6
ESPINACA,KILOGRAMO,2025-12,5.91
ESPINACA,KILOGRAMO,2026-01,6.03
ESPINACA,KILOGRAMO,2026-02,5.93
ESPINACA,KILOGRAMO,2026-03,6.38
ESPINACA,KILOGRAMO,2026-04,6.68
ESPINACA,KILOGRAMO,2026-05,6.78
ESPINACA,KILOGRAMO,2026-06,7.33
ESPINACA,KILOGRAMO,2026-07,6.82
ESPINACA,KILOGRAMO,2026-08,6.6
LIMON,KILOGRAMO,2023-08,9.8
LIMON,KILOGRAMO,2023-09,16.13
LIMON,KILOGRAMO,2023-10,8.65
LIMON,KILOGRAMO,2023-11,4.36
LIMON,KILOGRAMO,2023-12,3.63
LIMON,KILOGRAMO,2024-01,3.97
LIMON,KILOGRAMO,2024-02,3.87
LIMON,KILOGRAMO,2024-03,3.85
LIMON,KILOGRAMO,2024-04,4.25
LIMON,KILOGRAMO,2024-05,4.02
LIMON,KILOGRAMO,2024-06,3.92
LIMON,KILOGRAMO,2024-07,3.85
LIMON,KILOGRAMO,2024-08,3.75
LIMON,KILOGRAMO,2024-09,3.73
LIMON,KILOGRAMO,2024-10,4.39
LIMON,KILOGRAMO,2024-11,4.38
LIMON,KILOGRAMO,2024-12,4.2
LIMON,KILOGRAMO,2025-01,4.25
LIMON,KILOGRAMO,2025-02,4.28
LIMON,KILOGRAMO,2025-03,4.37
LIMON,KILOGRAMO,2025-04,4.36
LIMON,KILOGRAMO,2025-05,4.06
LIMON,KILOGRAMO,2025-06,4.04
LIMON,KILOGRAMO,2025-07,4.36
LIMON,KILOGRAMO,2025-08,5.84
LIMON,KILOGRAMO,2025-09,6.9
LIMON,KILOGRAMO,2025-10,6.73
LIMON,KILOGRAMO,2025-11,5.45
LIMON,KILOGRAMO,2025-12,4.59
LIMON,KILOGRAMO,2026-01,4.28
LIMON,KILOGRAMO,2026-02,4.35
LIMON,KILOGRAMO,2026-03,4.62
LIMON,KILOGRAMO,2026-04,4.82
LIMON,KILOGRAMO,2026-05,4.69
LIMON,KILOGRAMO,2026-06,4.6
LIMON,KILOGRAMO,2026-07,4.72
LIMON,KILOGRAMO,2026-08,4.74
MAIZ MORADO,KILOGRAMO,2023-08,6.03
MAIZ MORADO,KILOGRAMO,2023-09,5.68
MAIZ MORADO,KILOGRAMO,2023-10,4.99
MAIZ MORADO,KILOGRAMO,2023-11,4.82
MAIZ MORADO,KILOGRAMO,2023-12,4.81
MAIZ MORADO,KILOGRAMO,2024-01,5.31
MAIZ MORADO,KILOGRAMO,2024-02,5.74
MAIZ MORADO,KILOGRAMO,2024-03,5.41
MAIZ MORADO,KILOGRAMO,2024-04,5.04
MAIZ MORADO,KILOGRAMO,2024-05,4.82
MAIZ MORADO,KILOGRAMO,2024-06,4.73
MAIZ MORADO,KILOGRAMO,2024-07,4.82
MAIZ MORADO,KILOGRAMO,2024-08,4.78
MAIZ MORADO,KILOGRAMO,2024-09,4.63
